name,symbol,current_price,market_cap,total_volume,price_change_percentage_24h
Bitcoin,btc,98008.0,1942683736067,31522812519,0.19608
Ethereum,eth,2700.22,325471788230,17708425700,1.81191
XRP,xrp,2.49,143697276166,3988709585,2.46641
Tether,usdt,1.0,141897198115,57091684365,-0.00385
Solana,sol,202.49,98822390979,4741394007,-1.1534
BNB,bnb,641.34,93568545658,1253069445,5.76106
USDC,usdc,0.999967,56253915376,7809973559,-0.00247
Dogecoin,doge,0.264396,39125422138,1412222293,5.09431
Cardano,ada,0.79807,28666052138,1334652552,13.88249
Lido Staked Ether,steth,2698.25,25391404663,68952711,1.81328
TRON,trx,0.248438,21392789983,785163835,4.40039
Wrapped Bitcoin,wbtc,97782.0,12618516291,241654143,0.30078
Chainlink,link,19.43,12399157585,538410498,3.53921
Avalanche,avax,26.44,10897766969,327615298,3.64667
Sui,sui,3.53,10888615261,801066978,8.44277
Wrapped stETH,wsteth,3220.63,10855977493,59059447,1.91426
Stellar,xlm,0.332589,10173615407,329813536,4.64385
Litecoin,ltc,127.96,9664474044,1940366875,8.89191
Toncoin,ton,3.84,9574142701,136976082,0.99088
Shiba Inu,shib,1.611e-05,9506704953,215954007,1.18581
Hedera,hbar,0.240654,9208520994,300335691,0.71456
LEO Token,leo,9.75,9011849196,346584,-1.3411
USDS,usds,1.0,8389938282,5959820,0.01838
Hyperliquid,hype,24.62,8219354226,112539983,2.65195
WETH,weth,2699.41,7836490065,894533125,1.81432
Polkadot,dot,5.06,7706682928,239673606,4.2557
Bitget Token,bgb,6.42,7705454977,279460522,-0.13764
Bitcoin Cash,bch,338.73,6717899717,141560614,1.79348
Ethena USDe,usde,1.0,6052185496,130566725,0.03485
Uniswap,uni,9.93,5963880555,288381387,8.246
MANTRA,om,5.98,5812899506,223413397,-4.18252
Wrapped eETH,weeth,2862.97,5446809895,16134705,2.01347
Ondo,ondo,1.38,4361064793,294064765,2.86044
Pepe,pepe,1.033e-05,4344556725,907049822,7.38519
Monero,xmr,225.11,4150934078,70118715,2.28836
WhiteBIT Coin,wbt,27.7,3992285257,19200310,0.60306
NEAR Protocol,near,3.35,3961837065,219027465,3.31106
Aave,aave,258.16,3893875292,381887393,3.80498
Mantle,mnt,1.051,3532592118,109416910,2.46276
Aptos,apt,6.14,3531338075,303948870,-1.80884
Internet Computer,icp,7.33,3526637471,89768710,3.22179
Bittensor,tao,426.48,3503623793,226892130,9.56494
Dai,dai,1.0,3492620671,203673612,0.06246
sUSDS,susds,1.036,3228346536,951061,-0.17337
Official Trump,trump,16.05,3209841220,855689268,-0.3271
Ethereum Classic,etc,21.18,3194207381,94852230,3.47114
OKB,okb,50.04,3005503776,10672793,3.37183
VeChain,vet,0.03476219,2815054367,53270152,5.00212
Gate,gt,22.3,2805072409,16230590,3.07635
POL (ex-MATIC),pol,0.320935,2747583337,81375811,4.66891
